% Featurization 3: Binary wordlist attributes + extras
%	This featurization of the sentence data includes
%	the binary wordlist attributes of featurization 1
%	with the addition of 7 new features:
%
%	line_number: the line number (0 indexed) of the sentence in its document
%	num_words: the number of words in the sentence
%	median_word_length
%	mean_word_length
%	journal_name: the name of the journal that the sentence appears in {arxiv, jdm, plos}
%	expert_annotator: was the sentence labeled by an expert annotator?
%	section_name: did the sentence appear in the abstract or the introduction?
%

@RELATION itdoesntmatter

@ATTRIBUTE line_number INTEGER
@ATTRIBUTE num_words INTEGER
@ATTRIBUTE median_word_length REAL
@ATTRIBUTE mean_word_length REAL
@ATTRIBUTE journal_name {arxiv, jdm, plos}
@ATTRIBUTE expert_annotator INTEGER
@ATTRIBUTE section_name {abstract, introduction}
@ATTRIBUTE accomplish INTEGER
@ATTRIBUTE accuracy INTEGER
@ATTRIBUTE accurately INTEGER
@ATTRIBUTE address INTEGER
@ATTRIBUTE algorithm INTEGER
@ATTRIBUTE although INTEGER
@ATTRIBUTE analysis INTEGER
@ATTRIBUTE analyze INTEGER
@ATTRIBUTE analyzed INTEGER
@ATTRIBUTE answer INTEGER
@ATTRIBUTE apparently INTEGER
@ATTRIBUTE applied INTEGER
@ATTRIBUTE apply INTEGER
@ATTRIBUTE approach INTEGER
@ATTRIBUTE are INTEGER
@ATTRIBUTE argue INTEGER
@ATTRIBUTE artificial INTEGER
@ATTRIBUTE ask INTEGER
@ATTRIBUTE assess INTEGER
@ATTRIBUTE assume INTEGER
@ATTRIBUTE assumed INTEGER
@ATTRIBUTE capture INTEGER
@ATTRIBUTE claim INTEGER
@ATTRIBUTE classify INTEGER
@ATTRIBUTE compare INTEGER
@ATTRIBUTE comparison INTEGER
@ATTRIBUTE comparisons INTEGER
@ATTRIBUTE concentrate INTEGER
@ATTRIBUTE concludes INTEGER
@ATTRIBUTE conclusions INTEGER
@ATTRIBUTE confidence INTEGER
@ATTRIBUTE consider INTEGER
@ATTRIBUTE constructed INTEGER
@ATTRIBUTE contributions INTEGER
@ATTRIBUTE converted INTEGER
@ATTRIBUTE couple INTEGER
@ATTRIBUTE created INTEGER
@ATTRIBUTE current INTEGER
@ATTRIBUTE define INTEGER
@ATTRIBUTE demonstrate INTEGER
@ATTRIBUTE derive INTEGER
@ATTRIBUTE designed INTEGER
@ATTRIBUTE detect INTEGER
@ATTRIBUTE determined INTEGER
@ATTRIBUTE developed INTEGER
@ATTRIBUTE difficult INTEGER
@ATTRIBUTE directly INTEGER
@ATTRIBUTE discover INTEGER
@ATTRIBUTE discovered INTEGER
@ATTRIBUTE discuss INTEGER
@ATTRIBUTE discussion INTEGER
@ATTRIBUTE disparate INTEGER
@ATTRIBUTE drawbacks INTEGER
@ATTRIBUTE earlier INTEGER
@ATTRIBUTE early INTEGER
@ATTRIBUTE establish INTEGER
@ATTRIBUTE even INTEGER
@ATTRIBUTE examine INTEGER
@ATTRIBUTE examined INTEGER
@ATTRIBUTE examines INTEGER
@ATTRIBUTE expected INTEGER
@ATTRIBUTE expensive INTEGER
@ATTRIBUTE explain INTEGER
@ATTRIBUTE exploit INTEGER
@ATTRIBUTE extend INTEGER
@ATTRIBUTE extended INTEGER
@ATTRIBUTE fall INTEGER
@ATTRIBUTE findings INTEGER
@ATTRIBUTE focus INTEGER
@ATTRIBUTE followed INTEGER
@ATTRIBUTE formalize INTEGER
@ATTRIBUTE formidable INTEGER
@ATTRIBUTE formulated INTEGER
@ATTRIBUTE found INTEGER
@ATTRIBUTE foundation INTEGER
@ATTRIBUTE full INTEGER
@ATTRIBUTE future INTEGER
@ATTRIBUTE generalize INTEGER
@ATTRIBUTE generally INTEGER
@ATTRIBUTE give INTEGER
@ATTRIBUTE goal INTEGER
@ATTRIBUTE handful INTEGER
@ATTRIBUTE have INTEGER
@ATTRIBUTE here INTEGER
@ATTRIBUTE high INTEGER
@ATTRIBUTE how INTEGER
@ATTRIBUTE however INTEGER
@ATTRIBUTE hypothesis INTEGER
@ATTRIBUTE hypothesize INTEGER
@ATTRIBUTE i INTEGER
@ATTRIBUTE identification INTEGER
@ATTRIBUTE identified INTEGER
@ATTRIBUTE identify INTEGER
@ATTRIBUTE ignore INTEGER
@ATTRIBUTE illustrate INTEGER
@ATTRIBUTE implications INTEGER
@ATTRIBUTE increasingly INTEGER
@ATTRIBUTE indicate INTEGER
@ATTRIBUTE indirect INTEGER
@ATTRIBUTE infeasible INTEGER
@ATTRIBUTE influence INTEGER
@ATTRIBUTE influences INTEGER
@ATTRIBUTE insights INTEGER
@ATTRIBUTE interested INTEGER
@ATTRIBUTE introduce INTEGER
@ATTRIBUTE investigate INTEGER
@ATTRIBUTE investigated INTEGER
@ATTRIBUTE investigates INTEGER
@ATTRIBUTE investigation INTEGER
@ATTRIBUTE is INTEGER
@ATTRIBUTE legacy INTEGER
@ATTRIBUTE less INTEGER
@ATTRIBUTE limited INTEGER
@ATTRIBUTE little INTEGER
@ATTRIBUTE low INTEGER
@ATTRIBUTE main INTEGER
@ATTRIBUTE make INTEGER
@ATTRIBUTE many INTEGER
@ATTRIBUTE may INTEGER
@ATTRIBUTE measured INTEGER
@ATTRIBUTE method INTEGER
@ATTRIBUTE might INTEGER
@ATTRIBUTE missing INTEGER
@ATTRIBUTE model INTEGER
@ATTRIBUTE most INTEGER
@ATTRIBUTE motivate INTEGER
@ATTRIBUTE motivation INTEGER
@ATTRIBUTE must INTEGER
@ATTRIBUTE named INTEGER
@ATTRIBUTE nevertheless INTEGER
@ATTRIBUTE new INTEGER
@ATTRIBUTE not INTEGER
@ATTRIBUTE notation INTEGER
@ATTRIBUTE notorious INTEGER
@ATTRIBUTE novel INTEGER
@ATTRIBUTE observe INTEGER
@ATTRIBUTE observed INTEGER
@ATTRIBUTE obstacles INTEGER
@ATTRIBUTE obtain INTEGER
@ATTRIBUTE offers INTEGER
@ATTRIBUTE often INTEGER
@ATTRIBUTE on INTEGER
@ATTRIBUTE only INTEGER
@ATTRIBUTE our INTEGER
@ATTRIBUTE paper INTEGER
@ATTRIBUTE predict INTEGER
@ATTRIBUTE predicted INTEGER
@ATTRIBUTE predicts INTEGER
@ATTRIBUTE present INTEGER
@ATTRIBUTE presents INTEGER
@ATTRIBUTE previously INTEGER
@ATTRIBUTE propose INTEGER
@ATTRIBUTE provided INTEGER
@ATTRIBUTE purpose INTEGER
@ATTRIBUTE rate INTEGER
@ATTRIBUTE readily INTEGER
@ATTRIBUTE reasonable INTEGER
@ATTRIBUTE refined INTEGER
@ATTRIBUTE reformlate INTEGER
@ATTRIBUTE relatively INTEGER
@ATTRIBUTE relies INTEGER
@ATTRIBUTE require INTEGER
@ATTRIBUTE restricted INTEGER
@ATTRIBUTE result INTEGER
@ATTRIBUTE results INTEGER
@ATTRIBUTE reuse INTEGER
@ATTRIBUTE reveals INTEGER
@ATTRIBUTE section INTEGER
@ATTRIBUTE sections INTEGER
@ATTRIBUTE seems INTEGER
@ATTRIBUTE short INTEGER
@ATTRIBUTE shortcomings INTEGER
@ATTRIBUTE show INTEGER
@ATTRIBUTE significantly INTEGER
@ATTRIBUTE similar INTEGER
@ATTRIBUTE simulations INTEGER
@ATTRIBUTE sometimes INTEGER
@ATTRIBUTE somewhat INTEGER
@ATTRIBUTE sparse INTEGER
@ATTRIBUTE spirit INTEGER
@ATTRIBUTE study INTEGER
@ATTRIBUTE substantial INTEGER
@ATTRIBUTE suggest INTEGER
@ATTRIBUTE suggesting INTEGER
@ATTRIBUTE suggests INTEGER
@ATTRIBUTE survey INTEGER
@ATTRIBUTE tailored INTEGER
@ATTRIBUTE terminology INTEGER
@ATTRIBUTE test INTEGER
@ATTRIBUTE theoretical INTEGER
@ATTRIBUTE these INTEGER
@ATTRIBUTE this INTEGER
@ATTRIBUTE to INTEGER
@ATTRIBUTE trades-offs INTEGER
@ATTRIBUTE treat INTEGER
@ATTRIBUTE true-positive INTEGER
@ATTRIBUTE typically INTEGER
@ATTRIBUTE unfortunately INTEGER
@ATTRIBUTE unlike INTEGER
@ATTRIBUTE unrealistically INTEGER
@ATTRIBUTE use INTEGER
@ATTRIBUTE used INTEGER
@ATTRIBUTE using INTEGER
@ATTRIBUTE validate INTEGER
@ATTRIBUTE variability INTEGER
@ATTRIBUTE variable INTEGER
@ATTRIBUTE was INTEGER
@ATTRIBUTE we INTEGER
@ATTRIBUTE were INTEGER
@ATTRIBUTE whereas INTEGER
@ATTRIBUTE while INTEGER
@ATTRIBUTE without INTEGER
@ATTRIBUTE work INTEGER
@ATTRIBUTE yet INTEGER
@ATTRIBUTE class_label {AIM, BASE, CONT, OWN, MISC}

@DATA
7,23,4,4.78260869565,arxiv,0,abstract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
8,20,3.5,4.6,arxiv,0,abstract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MISC
9,32,4.0,4.4375,arxiv,0,abstract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AIM
10,45,2,3.31111111111,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OWN
11,55,2,2.49090909091,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
12,25,3,3.2,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
13,16,2.5,3.125,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
14,41,3,2.70731707317,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
15,33,4,4.78787878788,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OWN
16,18,3.0,3.88888888889,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
17,14,5.0,4.78571428571,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MISC
18,16,3.5,4.4375,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
19,33,3,3.30303030303,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
20,40,2.0,2.825,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MISC
21,18,4.0,4.38888888889,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
22,45,3,4.06666666667,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONT
23,77,3,3.46753246753,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AIM
24,44,3.0,3.29545454545,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OWN
25,43,2,2.6976744186,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OWN
26,32,3.0,3.5625,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
27,18,3.0,3.66666666667,arxiv,0,introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
